Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Caribbean small states,CSS,3986682671.25886,4735473222.89532,5168409964.9289,6746742648.66447,8392623035.67287,8081752248.58251,9295756962.70405,9566476187.26168,10680657581.3803,13214903789.1924,14679094416.2931,16600567799.3799,16737350693.7769,15611753466.1972,15209486936.8205,13529293687.479,14298236542.625,15423278565.6078,15746779655.7562,16709407144.5782,16493276727.8626,16464138795.4793,18065987895.9474,18782872914.1449,21397970667.1632,23811706146.2195,26988918268.5712,28892974657.1523,30613709531.4285,32585268383.6635,33496478650.2591,35158824575.8432,37542870623.2625,41467898413.48,46615225511.0283,53173740769.38,59422806764.0254,67832420422.3921,57073398871.9204,62242900335.0161,65333209300.7266,68831556751.365,70926323952.6484,71229647204.6802,70801076977.2538,66957949131.7855,69724869218.5393,71818854508.421,75489490416.2332,..
GNI (current US$),NY.GNP.MKTP.CD,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,254948943994.053,271238676632.07,307753707841.369,388641928287.667,411442980941.166,403946410928.273,441988841386.686,427195576787.087,421787146650.628,461800618216.061,519091482187.371,617627826850.99,734647985202.196,860215466659.367,967254789305.095,1207379541593.08,1481134200792.68,1250760813796.34,1269280909693.8,1391984643996.51,1304789245126.61,1379039774159.65,1418621615473.69,1246775449582.27,1274224465851.12,1413437264191.87,1587647690621.89,1613900495183.32,..
GNI (current US$),NY.GNP.MKTP.CD,Early-demographic dividend,EAR,304279651634.98,334299043270.949,421921566216.061,583355796651.18,625822388859.11,671563451105.214,743806212759.946,833951561067.664,1016841048510.35,1259351015920.61,1402933201953.28,1334167049981.39,1349028524476.57,1335141510360.44,1377765994385.36,1389098545033.83,1394779439440.85,1480876230819.3,1501449391707.67,1760157935695.35,1866890615784.41,2054879305815.93,2264115274534.07,2375223065580.04,2442312572365.15,2657459383522.84,2845391787866.13,2824528186897.21,2977639688200.49,3235227050137.05,3215637443409.03,3137362299054.2,3485493989147.1,4041657786341.15,4712188701566.41,5418954870929.43,6444454418433.54,7273650507458.88,6994089133432.05,8484892250735.86,9502946015291.79,9961845703632.52,10129760927562,10505788357812.7,10212035040065,10426710656353.4,11270874355886.3,11506156415254.7,11837473540527.7,..
GNI (current US$),NY.GNP.MKTP.CD,East Asia & Pacific,EAS,449550799772.35,558591519704.51,736389299680.357,845318243535.258,926452338882.953,1018273361737.23,1213256479899.26,1532537435157.26,1663522081702.98,1792319585869.57,1975805518462.59,1935202900578.32,2064500431304.93,2211919164691.91,2337455060435.73,3053297733735.74,3586844457639.51,4340018983495.4,4538723741362.6,4738737941790.34,5346952575031.69,5848543634746.08,6551667530227.46,7329529042566.48,8314481280034.39,8013073522023.1,7672864800838.28,6877473784389.32,7681714517262.5,8324456555359.89,7747708359637.35,7868147511848.49,8664022418309.57,9728380192562.38,10359221441916,11021676622559,12346802119005.5,14247227572940.7,14631831102737.9,17047204805014,19717918658832.1,21139870503192.2,21327648014981.4,22111863033767.7,21968015042669.3,22713597501142.4,24301448680907.7,26353328538068.5,26989556399627.9,..
GNI (current US$),NY.GNP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,133517276180.238,151248959824.994,190226625153.142,213971815972.368,240759318704.171,244437536455.993,282190893257.962,272427621320.228,315146830677.566,363350125947.166,387755803461.235,406682164816.915,426660088296.682,462464811792.998,507714157997.73,493331141773.678,475539930543.738,543370083767.708,608728973962.981,654010760953.789,709453141808.968,794022627295.375,872248741232.333,1053444309434.85,1290478789898.12,1483629482445.6,1539811306992.67,1411930501039.87,1552215246106.48,1711281770727.64,1822554003412.76,2023815855644.9,2294156869545.92,2665408285680.93,3073959608117.01,3721247037400.38,4724045054209.07,5998322601757.85,6461322248740.12,7824451509136.76,9527757049375.42,10671538566131,11715576301236.9,12734352761622.1,13215994638997,13495261390968.6,14778906834741.3,16468330745656.9,17069755940338.6,..
GNI (current US$),NY.GNP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,133271616783.095,150970675775.528,189876625816.782,213586387116.633,240345156915.186,244017288744.646,281705614463.25,271950639825.422,314587204038.499,362699289777.087,387057588476.47,405944750995.079,425878797385.012,461619727000.221,506792437895.19,492435533046.958,474676620536.25,542383632786.505,607623868415.968,652823449439.716,708165178469.135,792581133876.448,870665233688.68,1051531853810.72,1288136014492.29,1480936055254.03,1537015885566.23,1409367238413.26,1549397306182.47,1708175056478.4,1819247816362.99,2020132179278.18,2289941576838.81,2660492640896.87,3068292411189.39,3714347300871.84,4715239082991.67,5987082073082.53,6449177449077.43,7809700893057.06,9509774021781.89,10651415477140.2,11693465545636.4,12710311814890.9,13191063200325.1,13469830256800.8,14751014319530,16437207663734.4,17037471442413.6,..
GNI (current US$),NY.GNP.MKTP.CD,Euro area,EMU,736144639481.113,889777428618.471,1154508929360.28,1305649323697.6,1516804963734.67,1582002366485.67,1797568337455.4,2202768954951.84,2666588574603.74,2991661960567.12,2588188447041.51,2496941432891.85,2440099957421.75,2341343519570.14,2408580231418.19,3392906988169.55,4208039333227.56,4628042944264.33,4721664133981.01,5930534062241.69,6144589703325.74,6775519025707.18,6206188419204.67,6535467669918.88,7546488778912.31,7640249419926.74,6975492233284.99,7158511285900.14,7140143063244.59,6499024826407.81,6589082426796.65,7137597870049.28,8812248199492.35,10149787179460.7,10528629953900.4,11216817431596.4,12868892838294.7,14048048064310.8,12927329870837.6,12677373322982.9,13692654779929.9,12724186506413.7,13287776626130.4,13566180144889,11693917407324.9,12013040020870.7,12716200774990,13752827675031.1,13424679790462.1,..
GNI (current US$),NY.GNP.MKTP.CD,Europe & Central Asia,ECS,1167913176234.63,1400033470859.55,1779425721018.26,2008958011830.29,2352088817137.12,2442033236732.88,2755363188149.94,3379175292908.64,4116424976797.53,4658958406181.57,4131892505872.72,3967183142401.25,3855725579173.75,3707186614256.34,3834202966017.95,5245444060892.75,6487726591199.35,7221012932960.28,7285869909125.99,8885632327866.9,9166165597227.41,9836185478417.53,9034954749449.26,9456458993502.63,10819169676405.6,11037120710213.9,10479420021041.2,10769390348887.8,10660978345511,10045730224684.7,10135188854256.4,11057762104862.6,13477002309712.2,15737266290048.2,16780600473732.1,18150219227490.3,21098852991070.4,23051233401665.3,20412983140298.1,20954857849798.4,23201813376503.5,22350096773010,23338371917485.2,23645999312550.2,20351876551431.1,20293224553184,21519230149617,23079298805605.9,22725714900012.8,..
GNI (current US$),NY.GNP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,880936130305.809,836171939575.593,893400570885.344,873327079498.634,803161465456.622,787831406632.248,678321461745.953,723130131578.819,723476556903.725,749243664310.071,691081071439.606,580359276186.126,649341972768.764,643634923706.479,737666987932.153,926009887246.443,1234355402109.33,1556161327901.1,1898156437914.24,2448681460476.56,3022020872633.84,2366624300986.15,2863492247111.03,3551128137245.39,3790843185872.9,4013518311058.24,3734503471308.95,2851270046067.09,2708651735281.53,3038339832597.53,3112294895053.03,3155877860765.24,..
GNI (current US$),NY.GNP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,955503748082.736,1013091276947.41,1004336042142.16,937718794682.894,926036146576.42,835542628025.953,922551678169.114,942958130029.025,966250413926.946,930946860353.964,807697307712.621,879176800720.086,896823429008.084,1008159355119.35,1231789305515.67,1594022059631.95,1996728908012.25,2402499185043.48,3087680674763.98,3823658138681.1,3025215144778.41,3548442548496.9,4301887706628.71,4493034304598.28,4761971067897.81,4512119492466.87,3536745444767.75,3398360566449.88,3806495096625.57,3972868845396.24,4034411569578.52,..
